2.1684410572052:	encoder;	counts,	9
2.1727898120880127:	imu;	yaw,	-4.85637903213501
2.1805338859558105:	servo;	-16
2.1963844299316406:	controller;	speed_command,	0.6|	angle_command,	3.090219222
2.1964468955993652:	waypoints;	goal_x,	-71.42082124548556|	goal_y,	42.42730704020177
2.197355031967163:	servo;	-15
2.198817014694214:	imu;	yaw,	-4.860742092132568
2.202441692352295:	imu;	yaw,	-4.864014625549316
2.226163387298584:	servo;	-14
2.229871988296509:	controller;	speed_command,	0.6|	angle_command,	3.09195380919
2.230078935623169:	waypoints;	goal_x,	-71.42082124548556|	goal_y,	42.42730704020177
2.2313013076782227:	imu;	yaw,	-4.868378162384033
2.236402750015259:	imu;	yaw,	-4.871650695800781
2.2407164573669434:	imu;	yaw,	-4.874923229217529
2.264345645904541:	controller;	speed_command,	0.6|	angle_command,	3.09319316792
2.2644147872924805:	waypoints;	goal_x,	-71.42081895188092|	goal_y,	42.42730700689365
2.2691128253936768:	state;	y m,	4.30262882733|	vx,	0.555444212204|	angle,	0.337392402249|	x m,	-0.231046219802|	ang v,	-1.30293721462|	y,	42.427310276598206|	vy,	0.200603784062|	x,	-71.42081011846389
2.2696006298065186:	encoder;	counts,	10
2.3088088035583496:	controller;	speed_command,	0.6|	angle_command,	-3.12447168764
2.308915615081787:	waypoints;	goal_x,	-71.42081676307744|	goal_y,	42.42730702317262
2.3119826316833496:	imu;	yaw,	-4.878195762634277
2.3180460929870605:	imu;	yaw,	-4.882558822631836
2.340576648712158:	controller;	speed_command,	0.6|	angle_command,	-3.0218168924
2.3406476974487305:	waypoints;	goal_x,	-71.42081676307744|	goal_y,	42.42730702317262
2.343668222427368:	state;	y m,	4.88944520992|	vx,	0.621558301339|	angle,	0.257772973977|	x m,	-0.0629398550735|	ang v,	-1.18018274757|	y,	42.42731178798514|	vy,	0.479378010405|	x,	-71.42080297087271
2.3440940380096436:	gps;	long,	-71.42078399658203|	lat,	42.427303314208984|	fix,	True
2.348451852798462:	imu;	yaw,	-4.894557476043701
2.3764359951019287:	controller;	speed_command,	0.6|	angle_command,	-3.03279732035
