7.440002679824829:	state;	angle,	2.80619332629|	x,	-71.42090048318386|	vx,	0.694400546266|	ang v,	0.490128899643|	vy,	-0.337433940738|	y,	42.42740029972686
7.4457197189331055:	gps;	long,	-71.4209213256836|	lat,	42.4275016784668
7.4497902393341064:	imu;	yaw,	5.973389148712158
7.4756176471710205:	imu;	yaw,	5.974480628967285
7.476235389709473:	imu;	yaw,	5.9766621589660645
7.483480453491211:	imu;	yaw,	5.977752685546875
7.491502046585083:	encoder;	counts,	-20
7.4968016147613525:	imu;	yaw,	5.978843688964844
7.507283449172974:	imu;	yaw,	5.979934215545654
7.51947283744812:	state;	angle,	3.08787936983|	x,	-71.42090133537296|	vx,	0.648121383338|	ang v,	0.384277624534|	vy,	-0.101304142153|	y,	42.42740407789798
7.521686792373657:	imu;	yaw,	5.981025695800781
7.549408197402954:	imu;	yaw,	5.982116222381592
7.554374933242798:	imu;	yaw,	5.9832072257995605
7.554965496063232:	imu;	yaw,	5.984297752380371
7.565830707550049:	encoder;	counts,	-21
7.580253839492798:	imu;	yaw,	5.98538875579834
7.588479995727539:	state;	angle,	3.28331914472|	x,	-71.42090178318442|	vx,	0.723077524698|	ang v,	0.40099801586|	vy,	0.0370771779407|	y,	42.42740690810867
7.590951681137085:	imu;	yaw,	5.98647928237915
7.617569446563721:	servo;	-12
7.620661020278931:	imu;	yaw,	5.987570762634277
7.624972343444824:	imu;	yaw,	5.989752292633057
7.628049373626709:	servo;	-14
7.640563488006592:	gps;	long,	-71.4209213256836|	lat,	42.4275016784668
7.641406297683716:	servo;	-15
7.646027326583862:	encoder;	counts,	-22
7.6622560024261475:	imu;	yaw,	5.991933822631836
7.66719913482666:	imu;	yaw,	5.994115352630615
7.6700074672698975:	state;	angle,	3.53488886834|	x,	-71.42090254488829|	vx,	0.656570370202|	ang v,	0.673510128684|	vy,	0.209764496788|	y,	42.42741061672886
7.671785593032837:	imu;	yaw,	5.995205879211426
7.698647975921631:	servo;	-16
7.701192855834961:	imu;	yaw,	5.996297359466553
7.701991081237793:	imu;	yaw,	5.997387886047363
7.706485271453857:	encoder;	counts,	-23
7.713775157928467:	imu;	yaw,	5.998478889465332
7.733541965484619:	state;	angle,	3.71902542165|	x,	-71.4209030035593|	vx,	0.652902406074|	ang v,	0.69221555446|	vy,	0.361679669698|	y,	42.427413293818105
7.7397027015686035:	imu;	yaw,	5.999569416046143
7.77271580696106:	servo;	-15
7.779484510421753:	imu;	yaw,	6.002842426300049
7.78238844871521:	servo;	-11
7.786517858505249:	encoder;	counts,	-24
7.789352178573608:	servo;	-9
7.799255609512329:	imu;	yaw,	6.005023956298828
7.804716348648071:	servo;	-7
7.808493375778198:	imu;	yaw,	6.008296012878418
7.8113181591033936:	servo;	-4
7.816401958465576:	state;	angle,	3.85648977885|	x,	-71.4209033024489|	vx,	0.529683571139|	ang v,	0.379803012818|	vy,	0.406143438214|	y,	42.4274158189572
7.818357706069946:	imu;	yaw,	6.010477542877197
7.822865009307861:	imu;	yaw,	6.012659549713135
7.850172758102417:	gps;	long,	-71.42092895507812|	lat,	42.427513122558594
7.850616931915283:	imu;	yaw,	6.01811408996582
7.851648569107056:	servo;	-3
7.858195543289185:	encoder;	counts,	-25
7.865393400192261:	imu;	yaw,	6.022477149963379
7.873026371002197:	imu;	yaw,	6.024658679962158
7.888891220092773:	state;	angle,	3.72611429704|	x,	-71.42090448624|	vx,	0.526665013415|	ang v,	-0.161886861387|	vy,	0.439182948023|	y,	42.42741936634214
7.8907153606414795:	imu;	yaw,	6.025749206542969
7.917182922363281:	imu;	yaw,	6.027931213378906
7.920912265777588:	imu;	yaw,	6.031203746795654
7.921631813049316:	imu;	yaw,	6.033385753631592
7.930316686630249:	imu;	yaw,	6.036657810211182
7.935856103897095:	encoder;	counts,	-26
7.941887140274048:	imu;	yaw,	6.04102087020874
7.960505723953247:	imu;	yaw,	6.042111396789551
7.963799476623535:	state;	angle,	3.58330293848|	x,	-71.42090516926972|	vx,	0.606236927208|	ang v,	-0.144794645327|	vy,	0.367641932051|	y,	42.427422110205754
7.981758117675781:	imu;	yaw,	6.043202877044678
8.000592708587646:	imu;	yaw,	6.042111396789551
8.010521411895752:	imu;	yaw,	6.04102087020874
8.017155170440674:	encoder;	counts,	-27
8.03994345664978:	imu;	yaw,	6.038839340209961
